Price,Condition,Brand,Model,Edition,Operating System,RAM,Memory,No. of Camera,Screen Size,Network,SIM Support,Dual SIM,URL
"Rs 148,000",Used,Apple,iPhone 13 Pro Max,Iphone 13 pro max,iOS,6 GB,256 GB,Triple,5.1 to 6 inches,VoLTE,Dual SIM,,https://ikman.lk/en/ad/apple-iphone-13-pro-max-used-for-sale-kalutara-439
"Rs 402,999",Brand New,Apple,iPhone 17 Pro Max,256GB.  {ESIM},iOS,,256 GB,,,5G,,,https://ikman.lk/en/ad/apple-iphone-17-pro-max-256gb-esim-brand-new-for-sale-colombo-80
"Rs 60,000",Used,Apple,iPhone 11,11,iOS,,128 GB,,,5G,Dual SIM,,https://ikman.lk/en/ad/apple-iphone-11-i-phone-used-for-sale-puttalam-56
"Rs 55,000",Used,Apple,iPhone 11,128GB,iOS,6 GB,128 GB,Dual,Above 6 inches,5G,Single SIM,,https://ikman.lk/en/ad/apple-iphone-11-128gb-used-for-sale-colombo-19053
"Rs 193,000",Used,Apple,iPhone 14 Pro Max,256GB,iOS,6 GB,256 GB,Triple,,5G,Dual SIM,,https://ikman.lk/en/ad/apple-iphone-14-pro-max-256gb-used-for-sale-colombo-5068
"Rs 38,990",Used,Apple,iPhone SE 2,64GB Black,iOS,,128 GB,,,4G,,,https://ikman.lk/en/ad/apple-iphone-se-2-64gb-black-used-for-sale-colombo-4
"Rs 442,000",Brand New,Apple,iPhone 17 Pro Max,Apple,iOS,,,Triple,,5G,Dual SIM,,https://ikman.lk/en/ad/apple-iphone-17-pro-max-x-a-sim-version-brand-new-for-sale-kandy
"Rs 86,000",Used,Apple,iPhone 12,256GB,iOS,,256 GB,Dual,,5G,Dual SIM,,https://ikman.lk/en/ad/apple-iphone-12-256gb-used-for-sale-polonnaruwa-3
"Rs 118,500",Used,Apple,iPhone 14,128GB,iOS,6 GB,128 GB,,4 to 5 inches,,Dual VoLTE,,https://ikman.lk/en/ad/apple-iphone-14-128gb-used-for-sale-galle-136
"Rs 38,990",Used,Apple,iPhone SE 2,64GB Black,iOS,,128 GB,,,4G,,,https://ikman.lk/en/ad/apple-iphone-se-2-64gb-black-used-for-sale-colombo-4
"Rs 442,000",Brand New,Apple,iPhone 17 Pro Max,Apple,iOS,,,Triple,,5G,Dual SIM,,https://ikman.lk/en/ad/apple-iphone-17-pro-max-x-a-sim-version-brand-new-for-sale-kandy
"Rs 30,000",Used,Apple,iPhone 7 Plus,7,iOS,4 GB,128 GB,Dual,Above 6 inches,VoLTE,Single SIM,,https://ikman.lk/en/ad/apple-iphone-7-plus-red-used-for-sale-kurunegala-175
"Rs 235,000",Used,Apple,iPhone 15 Pro Max,256GB,iOS,,256 GB,Triple,Above 6 inches,5G,,,https://ikman.lk/en/ad/apple-iphone-15-pro-max-256gb-used-for-sale-kandy-547
"Rs 99,990",Used,Apple,iPhone 13,128GB,iOS,4 GB,128 GB,Dual,Above 6 inches,5G,Single SIM,,https://ikman.lk/en/ad/apple-iphone-13-128gb-used-for-sale-polonnaruwa-63
"Rs 128,000",Used,Apple,iPhone 14,256GB,iOS,6 GB,256 GB,Dual,,5G,Dual SIM,,https://ikman.lk/en/ad/apple-iphone-14-256gb-used-for-sale-colombo-899
"Rs 269,999",Used,Apple,iPhone 16 Pro Max,256GB,iOS,,256 GB,Triple,Above 6 inches,VoLTE,Single SIM,,https://ikman.lk/en/ad/apple-iphone-16-pro-max-256gb-used-for-sale-gampaha-328
"Rs 106,000",Used,Apple,iPhone 13,256GB,iOS,4 GB,256 GB,Dual,,5G,Dual SIM,,https://ikman.lk/en/ad/apple-iphone-13-256gb-used-for-sale-colombo-1754
