Condition,Brand,Model,Edition,Operating System,RAM,Memory,No. of Camera,Screen Size,Network,SIM Support,URL
Used,Apple,iPhone 11,11,iOS,,128 GB,,,5G,,https://ikman.lk/en/ad/apple-iphone-11-used-for-sale-colombo-8203
Used,Apple,iPhone 11,11,iOS,,128 GB,,,5G,,https://ikman.lk/en/ad/apple-iphone-11-used-for-sale-colombo-8204
Used,Apple,iPhone 11,11,iOS,,128 GB,,,5G,,https://ikman.lk/en/ad/apple-iphone-11-used-for-sale-colombo-8205
Used,Apple,iPhone 12 Pro,256GB,iOS,,256 GB,Triple,,,Single SIM,https://ikman.lk/en/ad/apple-iphone-12-pro-12pro-used-for-sale-galle-1
Used,Apple,iPhone 7 Plus,256GB,iOS,,256 GB,Dual,5.1 to 6 inches,4G,Single SIM,https://ikman.lk/en/ad/apple-iphone-7-plus-256gb-used-for-sale-colombo-2568
Used,Apple,iPhone 15 Pro,128GB,iOS,8 GB,128 GB,Triple,,,,https://ikman.lk/en/ad/apple-iphone-15-pro-128gb-used-for-sale-gampaha-513
Used,Apple,iPhone 13 Pro,512GB,iOS,6 GB,,,,,,https://ikman.lk/en/ad/apple-iphone-13-pro-512gb-used-for-sale-gampaha-535
Brand New,Apple,iPhone 17 Pro Max,256GB eSim version,iOS,,256 GB,,,5G,,https://ikman.lk/en/ad/apple-iphone-17-pro-max-256gb-esim-version-brand-new-for-sale-colombo-12
Used,Apple,iPhone 7,,iOS,4 GB,128 GB,Quad,,4G,Single SIM,https://ikman.lk/en/ad/apple-iphone-7-used-for-sale-gampaha-10988
Brand New,Apple,iPhone 17 Pro,256GB eSim version,iOS,,256 GB,,,5G,,https://ikman.lk/en/ad/apple-iphone-17-pro-256gb-esim-version-brand-new-for-sale-colombo-9
Brand New,Apple,iPhone 17,256GB,iOS,,256 GB,,,5G,,https://ikman.lk/en/ad/apple-iphone-17-256gb-brand-new-for-sale-colombo-910
Used,Apple,iPhone 11 Pro,Apple,iOS,12 GB,256 GB,Triple,,5G,Single SIM,https://ikman.lk/en/ad/apple-iphone-11-pro-used-for-sale-kandy-1470
Brand New,Apple,iPhone 17,256GB eSim version,iOS,,256 GB,,,5G,,https://ikman.lk/en/ad/apple-iphone-17-256gb-esim-version-brand-new-for-sale-colombo-13
Used,Apple,iPhone 7 Plus,256GB,iOS,,256 GB,,,,,https://ikman.lk/en/ad/apple-iphone-7-plus-7-256-gb-used-for-sale-colombo
Used,Apple,iPhone 11,,iOS,,64 GB,,,5G,,https://ikman.lk/en/ad/apple-iphone-11-used-for-sale-jaffna-907
Brand New,Apple,iPhone 17 Pro Max,512GB,iOS,,256 GB,Triple,Above 6 inches,,,https://ikman.lk/en/ad/apple-iphone-17-pro-max-512gb-brand-new-for-sale-colombo-233
Used,Apple,iPhone 14 Pro Max,256GB,iOS,,256 GB,Triple,Above 6 inches,5G,,https://ikman.lk/en/ad/apple-iphone-14-pro-max-256gb-used-for-sale-colombo-5066
Used,Apple,iPhone 11 Pro,256GB,iOS,,256 GB,Triple,Below 4 inches,,,https://ikman.lk/en/ad/apple-iphone-11-pro-256-used-for-sale-gampaha-329
Used,Apple,iPhone 12,,iOS,4 GB,128 GB,Dual,Above 6 inches,5G,Single SIM,https://ikman.lk/en/ad/apple-iphone-12-used-for-sale-colombo-3800
Used,Apple,iPhone 13,,iOS,,128 GB,,,5G,Single SIM,https://ikman.lk/en/ad/apple-iphone-13-used-for-sale-kalutara-450
Used,Apple,iPhone 15 Pro,128GB,iOS,8 GB,128 GB,Triple,5.1 to 6 inches,5G,Dual VoLTE,https://ikman.lk/en/ad/apple-iphone-15-pro-128gb-used-for-sale-matara-24
Brand New,Apple,iPhone 17 Pro,512GB,iOS,,,Triple,Above 6 inches,,,https://ikman.lk/en/ad/apple-iphone-17-pro-512gb-brand-new-for-sale-colombo-61
